,processed_problem,processed_action
117,l/h side of engine forward rubber seal loose,secured baffle seal
118,1 3 rocker cover gaskets leaking,removed replaced gaskets
119,r/h baffle front side has a crack,stop drilled crack fabricated patch w/ like material
120,cylinder 4 intake leaking,replaced intake gasket
121,2 intake leaking,removed replaced 2 intake gasket
122,4 rocker cover leaking,removed replaced 4 rocker gasket
123,r/h engine 4 cylinder intake gasket leaking,installed new 4 intake gasket
124,screw missing on 3 cylinder baffle,installed new screw
125,r/h front baffle seal loose,resecured r/h front baffle seal
126,top back l/h corner baffle cracked,stop drilled crack fabricated patch w/ like material
127,2 cylinder intake gasket leaking,removed replaced gasket
128,2 3 rocker cover gaskets leaking,removed replaced gaskets
129,engine started running rough shortly after takeoff landed,ran engine briefly noted that engine was not running
130,engine started running rough shortly after takeoff landed,freed exhaust valve inspected found to be serviceabl
131,1 3 intakes leaking,removed replaced 1 3 rocker cover gaskets
132,2 4 rocker cover leaking,removed replaced rocker cover gaskets
133,r/h aft baffle mount rivets sheared,disconnected lines wires to remove baffle removed ba
134,cylinder head temperature needle bounces had engine run rough momentarily,removed replaced cylinder head temperature probe insp engine no defects n
135,noted wear on engine mount caused by engine breather support,operational safety section leak check good
136,noted wear on engine mount caused by engine breather support,finished installation of engine
137,noted wear on engine mount caused by engine breather support,removed engine replaced engine mount torqued engine m
138,l/h engine 2 3 4 intakes leaking,replaced all 3 gaskets
139,l/h engine 3 rocker cover leaking,removed replaced gasket
140,r/h engine 2 4 rocker covers leaking,replaced 2 4 rocker covers
141,r/h engine 3 4 intake tubes leaking,replaced 3 4 intake gaskets
142,l/h engine left aft baffle angle bracket cracked,removed brace stop drilled crack installed w/ large a
143,rocker box cover screws loose,retorqued screws
144,2 rocker box cover gasket leaking,installed new 2 rocker box cover gasket
145,4 rocker cover gasket leaking,installed new 4 rocker box cover gasket
146,left brake linings worn out,replaced brake linings
147,right engine 3 rocker cover leaking,removed replaced 3 rocker cover
148,engine overspeed up to 3400 rpm termination of an auto,leak check good
149,engine overspeed up to 3400 rpm termination of an auto,began valve train overspeed insp
150,engine overspeed up to 3400 rpm termination of an auto,began engine overspeed insp iaw identified corr
151,engine overspeed up to 3400 rpm termination of an auto,finished valve train overspeed insp was complet
152,2 rocker cover gasket leaking,replaced gasket
153,2 cylinder has low compression,performed engine run up to operating temperatures perf
154,2 rocker box cover screws loose,retorqued screws
155,3 baffle button plug bad,installed new button plug
156,r/h engine rough in flight,ran a/c couldnt duplicate discrep no defects noted d
157,1 3 rocker covers leaking,removed replaced 1 3 rocker covers
158,r/h forward baffle seal loose,resecured baffle seal
159,while taxiing engine quit,found 4 intake was leaking removed replaced intake
160,r/h engine forward i/b baffle has small crack,stop drilled crack
161,both engs all rocker covers loose,tightened all screws for rocker covers
162,l/h engine needs to be removed to facilitate repair,operational safety section leak checked good
163,r/h engine needs to be removed to facilitate repair,operational safety section leak checked good
164,r/h engine needs to be removed to facilitate repair,installed r/h engine to airframe
165,r/h engine needs to be removed to facilitate repair,finished installing nacelle wiring
166,l/h engine needs to be removed to facilitate repair,finished reinstall of nacelle wiring
167,r/h engine needs to be removed to facilitate repair,continued wiring engine control installation
168,l/h engine needs to be removed to facilitate repair,preserved cylinders prepared engine for storage
169,r/h engine needs to be removed to facilitate repair,sealed control cable electrical harness firewall
170,l/h engine needs to be removed to facilitate repair,installed timed magnetos routed connected wiring
171,l/h engine needs to be removed to facilitate repair,unpacked engine from pallet installed engine assembly to a
172,l/h engine needs to be removed to facilitate repair,ran wiring through firewall ran cables through firewal
173,l/h engine needs to be removed to facilitate repair,routed secured wiring fuel oil lines control cabl
174,l/h engine needs to be removed to facilitate repair,sealed control cable electrical harness firewall r
175,l/h engine needs to be removed to facilitate repair,cleaned plugs serviced oil ran l/h engine all indica
176,l/h engine needs to be removed to facilitate repair,removed left engine prop/mount assembly
177,l/h engine needs to be removed to facilitate repair,removed oil sump accessory case inspected iaw
178,r/h engine needs to be removed to facilitate repair,started wiring installation control cable installatio
179,r/h engine needs to be removed to facilitate repair,continued wiring control cable routing connected cow
180,r/h engine needs to be removed to facilitate repair,connected wiring secured attached rigged engine cuttoff
181,r/h engine needs to be removed to facilitate repair,cleaned plugs serviced oil ran engine all indication
182,r/h engine needs to be removed to facilitate repair,removed r/h engine/prop/mount assembly preserved cylinders pal
183,remove engine to facilitate firewall repair,removed engine
184,reinstall engine after repair to firewall,installed engine after repair to firewall was completed
185,reinstall engine after repair to firewall,firewall repaired by odegaard wings
186,2 4 intake gasket leaking,removed replaced 2 4 intake gaskets
187,2 intake leaking,removed replaced intake gasket
188,3 rocker cover leaking,removed replaced 3 rocker cover gasket
189,aft baffle screw loose,tightened baffle screw
190,4 rear engine baffle cracked,stop drilled crack
191,induction tube hose clamps loose all cylinders,tightened hose clamps
192,3 cylinder exhaust seal leaking,removed replaced seal
193,felt on 1 3 baffle coming loose,prepped area applied sealant
194,engine baffle buttons worn,removed replaced engine baffle buttons on l/h r/h
195,missing screw on 3 rocker cover,installed new screw
196,2 4 intakes leaking,removed replaced intake gaskets
197,2 rocker cover gasket leaking,removed replaced rocker cover gasket
198,engine runs rough after start engine shut down when power t,started a/c verified engine runs very rough 3 exhaust gas temperature  wa
199,engine runs rough after start engine shut down when power t,performed si 388c on all 4 cylinders reamed exhaust va
200,lacing cord loose on scat tubing ignition lead to frame r/h si,replaced both lacings
201,all rocker cover screws loose on l/h engine,tightened all screws
202,2 intake leaking on r/h engine,removed replaced 2 intake gasket on r/h engine
203,intakes 2 4 leaking on l/h engine,removed replaced intake gasket 2 3 4 on l/h engine
204,rocker covers 2 4 leaking on r/h engine,removed replaced 2 4 rocker cover gaskets on r/h e
205,on right engine start engine ran very rough,removed replaced 3 cylinder assembly reemed 1 2 4 exhaust
206,on right engine start engine ran very rough,ran engine 3 cylinder no exhaust gas temperature  pulled prop through 4 compre
207,2 intake leaking,removed replaced intake gaskets
208,cylinder 2 intake gasket leaking,removed replaced cylinder 2 intake gasket
209,cylinder 2 3 rocker covers leaking,removed replaced cylinder 2 3 rocker cover gaskets
210,cylinder 3 aft baffle i/b screw bracket rivets sheared off,removed cylinder 3 aft baffle replaced broken fasteners
211,3 rocker cover leaking,removed replaced rocker cover w/ new
212,2 4 rocker cover gaskets leaking,removed replaced gaskets
213,r/h engine 2 intake leaking,removed replaced gasket
214,l/h engine 4 rocker cover gasket leaking,removed replaced gasket
215,r/h engine all 4 rocker cover gaskets seeping,removed replaced all gaskets
216,r/h rear engine baffle screw missing,installed new screw
217,rocker box cover screws loose all cylinders,retorqued screws
218,induction tube hose clamps loose all cylinders,tightened hose clamps
219,2 intake leaking,removed replaced 2 intake gasket
220,4 rocker cover leaking,removed replaced rocker cover gasket
221,induction tube hose clamps loose all cylinder,tightened hose clamps
222,2 4 rocker box cover screws loose,retorqued 2 4 rocker box cover screws
223,l/h engine 1 intake leaking,removed replaced l/h 1 intake gasket
224,r/h engine 2 1 intake leaking,removed replaced r/h engine intake gaskets 1 2
225,r/h forward upper baffle seal loose,replaced baffle seal
226,4 rocker cover leaking,removed replaced gasket
227,rocker box cover screws loose,retorque rocker box cover screws
228,4 rocker gasket leaking,replaced rocker gasket
229,2 rocker cover leaking,removed replaced rocker cover gasket
230,4 cylinder has no compression,installed new gasket leak check good
231,4 cylinder has no compression,inspected valves found no defects ran a/c rechecked
232,screw missing on 3 baffle,replaced screw
233,2 rocker cover leaking,replaced gasket
234,induction tube hose clamps loose,tightened hose clamps
235,r/h engine cylinder 3 intake leaking,replaced intake gasket
236,l/h engine 4 induction tube gasket leaking,replaced intake gasket
237,l/h engine cylinder 1 forward baffle seal loose,resecured 1 forward baffle seal
238,l/h engine 1 2 3 rocker box covers leaking,replaced rocker cover gaskets
239,r/h engine 2 intake tube gasket leaking,installed new 2 intake tube gasket
240,r/h engine all rocker cover gaskets leaking,installed new r/h engine rocker box cover gaskets
241,aft baffle bracket rivets sheared,resecured baffle bracket
242,3 aft baffle worn through at i/b cylinder wrap,removed worn piece fabricated replacement from like ma
243,front r/h baffle side has a crack by screw,stop drilled crack
244,front r/h baffle worn through from muffler shroud,removed baffle
245,front r/h baffle worn through from muffler shroud,fabricated patch w/ like materials riveted iaw
246,2 3 4 rocker gaskets leaking,replaced 2 3 4 rocker gaskets leak check good
247,3 aft baffle cracked in several places,installed new baffle
248,3 aft baffle cracked in several places,removed r/h rear baffle
249,screw missing in 4 rocker cover,installed torqued new screw in 4 rocker box cover r
250,2 intake leaking,replaced gasket
251,bracket securing oil line to 2 cylinder broken,removed replaced bracket
252,remove engine to facilitate firewall repair,removed engine to facilitate repair by odegaard wings
253,remove engine to facilitate firewall repair,reinstalled engine iaw maintenance manual
254,2 rocker cover gasket leaking,removed replaced 2 rocker cover gasket
255,2 4 rocker covers leaking,removed replaced gaskets
256,doing max perform t/o 3200 mp wont go any higher than 24,requires maintenance flight to verify discrepancy
257,rocker cover gaskets 1 3 4 leaking,removed replaced rocker cover gaskets 1 3 4
258,2 4 cylinder rocker cover gaskets leaking,removed replaced 2 4 gaskets
259,1 2 3 rocker box cover screws loose,tightened screws
260,1 3 rocker covers leaking,removed replaced 1 3 rocker cover gaskets
261,rocker box cover screws loose all cylinder,tightened screws
262,induction tube hose clamps loose all cylinder,tightened hose clamps
263,3 intake leaking at clamp,readjusted tightened clamp
264,2 intake gasket leaking,removed replaced intake gasket w/ new
265,rivet pulled through baffle seal 1 cylinder,removed old rivet installed new rivet
266,3 rocker cover leaking,removed replaced gasket
267,l/h engine i/b baffle interconnect rod broken,removed replaced baffle interconnect rod
268,2 induction tube hose clamp broken,installed new hose clamp
269,1 2 3 cylinder intake gaskets leaking,installed new intake gaskets
270,4 rocker cover leaking,removed replaced 4 rocker cover gasket
271,aft r/h baffle has missing rivet,removed replaced rivet
272,2 4 rocker covers leaking,removed replaced 2 4 rocker cover gaskets
273,ring gear has too many damaged teeth,removed prop installed serviceable ring gear assembly in
274,3 cylinder oil return line been chafing on wire bundle,leak check good
275,3 cylinder oil return line been chafing on wire bundle,removed replaced oil return line
276,r/h side back baffle cracked bracket rivets broken,removed r/h side baffle off engine
277,r/h side back baffle cracked bracket rivets broken,replaced baffle w/ serviceable baffle
278,1 rocker cover leaking,removed replaced rocker cover gasket
279,r/h engine cylinder 3 aft baffle cracked,stop drilled crack in r/h engine 3 aft baffle
280,l/h engine cylinder 4 aft baffle stiffener cracked,removed replaced cracked stiffener
281,cylinder 2 3 intakes leaking,removed replaced cylinder 2 3 intake gaskets
282,r/h forward upper baffle seal needs to be resecured,installed pop rivet to resecure r/h forward baffle seal
283,1 intake leaking,removed replaced 1 intake gasket
284,rocker covers 2 3 leaking,removed replaced rocker cover gaskets 2 3
285,2 induction tube gasket leaking,installed new 2 induction tube gasket
286,2 3 rocker box cover gaskets leaking,installed new rocker box cover gaskets
287,during entry to 180 degree auto when collective lowered to,inspected throttle linkage collective linkage no disc
288,cap screw missing l/h engine 4 baffle,installed new screw
289,4 rocker cover leaking,removed replaced 4 rocker cover gasket
290,all rocker covers have loose screws,tightened all covers
291,r/h engine 3 intake leaking,removed replaced 3 intake gasket w/ new
292,hardware missing on r/h engine 4 rocker cover,installed new screw into 4 rocker cover
293,4 intake gasket leaking,replaced gasket
294,right engine 2 rocker cover leaking,removed replaced 2 rocker cover
295,1 3 rocker box cover screws loose,tightened screws
296,2 4 induction tube gaskets leaking,installed new 2 4 induction tube gaskets
297,all screws for rocker covers loose,tightened all screws
298,1 4 intakes leaking,removed replaced intake gaskets 1 4
299,induction tube hose clamps loose all cylinders,tightened hose clamps
300,r/h rear baffle mounting screw loose,tightened r/h rear baffle mounting screw
301,l/h baffle plug missing,installed patch fabricated out of like material instal
302,3 intake leaking,removed replaced 3 intake gasket
303,engine inspection panel missing screw,reinstalled screw
304,1 rocker cover leaking,removed replaced rocker cover gasket
305,cylinder 2 3 intakes leaking,replaced cylinder 2 3 intake gaskets
306,2 intake gasket leaking,removed replaced intake gasket w/ new
307,2 3 4 rocker box cover screws loose,tightened screws
308,starter ring gear missing teeth,removed replaced starter ring gear resafety wired pr
309,2 4 intake gaskets leaking,removed replaced 2 4 intake gaskets w/ new
310,both baffle plugs worn,replaced both baffle plugs
311,1 rocker leaking,removed replaced 1 rocker cover gasket
312,r/h forward baffle missing screw,installed new screw
313,oil psi switch wiring grommet missing,installed new grommet
314,4 intake leaking,replaced gasket
315,2 rocker cover leaking,removed replaced 2 rocker cover gasket
316,rocker covers 2 3 leaking,removed replaced 2 3 rocker cover gaskets
317,back l/h top baffle cracked,fabricated patch installed patch rivet iaw srm
318,l/h forward engine baffle cracked,stop drilled crack fabricated patch riveted iaw
319,l/h r/h spark plug through hole plugs need to be replaced,installed new engine baffle button plugs
320,2 rocker cover leaking,removed replaced 2 rocker cover gasket
321,l/h forward engine baffle blast tube blocked,removed blockage
322,r/h engine 2 3 intakes leaking,replaced 2 3 intake gaskets
323,3 rocker cover leaking on r/h engine,replaced 3 rocker cover gasket
324,l/h engine intakes 1 2 4 leaking,removed replaced 1 2 4 intake gaskets w/ new
325,2 intake leaking,removed replaced intake gasket
326,r/h baffle plug needs to be changed,removed replaced baffle plug
327,3 intake leaking,removed replaced 3 intake gasket
328,l/h bottom baffle wire holder broken,removed replaced lower l/h baffle tie rod
329,4 cylinder intake gasket leaking,removed replaced intake gasket
330,spark plug baffle plug worn,installed new baffle plug
331,2 intake leaking,removed replaced intake gasket cleaned fuel stains i
332,3 rocker cover gasket leaking,removed replaced gasket
333,2 rocker cover gasket leaking,removed replaced 2 rocker cover gasket
334,2 cylinder left engine intake leaking,removed replaced 2 intake gasket
335,r/h engine 4 cylinder intake gasket leaking,replaced gasket
336,r/h engine 1 cylinder side baffle seal torn,removed replaced seal
337,r/h engine 3 cylinder aft baffle seal out of place,resecured baffle seal
338,l/h side baffle cracked,patched w/ like material riveting iaw channel
339,l/h deflector baffle cracked,patched w/ like material riveting iaw channel
340,2 4 rocker covers leaking,replaced rocker cover gaskets
341,engine baffle buttons worn,removed old baffle buttons installed new ones on l/h
342,4 intake gasket leaking,replaced gasket
343,lower right baffle spring broken,replaced w/ new baffle spring
344,r/h back baffle bracket screws loose,removed baffle installed new bracket screws reinstal
345,both baffle plugs bad,removed replaced both baffle plugs
346,2 rocker cover leaking,removed replaced 2 rocker cover gasket
347,3 rocker cover leaking,removed replaced 3 rocker cover gasket
348,cylinder 3 back baffle screw missing,installed cylinder 3 back baffle screw
349,spiral wrap on rocker oil return lines 1 3 requires repla,removed replaced spiral wrap on rocker return lines
350,l/h engine rocker box cover screws loose,tightened down screws
351,r/h engine rocker box cover screws loose,tightened down screws
352,r/h engine 2 intake gasket leaks,removed replaced intake gasket
353,4 induction tube gasket leaking,replaced 4 induction tube gasket
354,2 4 rocker box cover gaskets leaking,replaced 2 4 rocker cover gaskets
355,1 intake gasket leaking,removed replaced 1 intake gasket w/ new
356,4 rocker cover leaking,removed replaced 4 rocker cover gasket w/ new
357,1 intake leaking,removed replaced intake tube
358,engine baffle plug missing,installed new baffle plug on l/h side of engine
359,cylinder 1 rocker cover gasket leaking,removed replaced rocker cover gasket
360,2 intake leaking,removed replaced intake gasket
361,cylinder 2 rocker cover leaking,removed replaced rocker cover gasket
362,r/h engine 3 2 intakes leaking,removed replaced gasket
363,r/h engine 3 rocker cover leaking,removed replaced gasket
364,2 3 intakes on l/h engine leaking,replaced 2 3 intake gaskets on l/h engine
365,2 cylinder intake gasket leaking,removed replaced gasket
366,2 cylinder inner intake push rod seal leaking,replaced inner outer push rod tube seals rocker cov
367,2 rocker cover gasket leaking,removed replaced 2 rocker cover gasket
368,3 rocker cover gasket leaking,removed replaced 3 rocker cover gasket
369,forward push rod seal leaking engine on 3 cylinder,removed replaced 3 cylinder forward push rod tube seals
370,cylinder 1 baffle cracked at screw support forward baffle below 1,fabricated patches of like material riveted iaw
371,r/h baffle seal loose forward upper,resecured baffle seal
372,baffle seal has hole in it,repaired hole in seal
373,front baffle rubbing on muffler,applied high temperature sealant to seperate secure baffle
374,2 intake leaking,replaced gasket
375,3 cylinder has valve sticking,installed remaining items
376,3 cylinder has valve sticking,removed cylinder installed repaired cylinder two 28 push rods
377,4 cylinder intake gasket leaking,removed replaced gasket
378,2 intake leaking,removed replaced intake gasket
379,2 4 rocker cover leaking,removed replaced rocker cover gaskets
380,2 3 intakes leaking,removed replaced gaskets
381,3 cylinder aft baffle missing screw,installed new screw
382,4 rocker cover leaking,replaced gasket
383,engine rough on start suspect stuck valve,inspd found 3 cylinder exhaust valve stuck open contacte
384,engine rough on start suspect stuck valve,torqued cylinder base installed remaining lines tubes baf
385,3 forward push rod tube leaking engine,removed replaced 3 forward push rod tube seals leak che
386,cylinder 3 intake tube leaking at sump connector hose,tightened clamps
387,cylinder 3 aft baffle mount rivets sheared,removed baffle repaired mount reinstalled
388,2 cylinder baffle seal needs to be resecured,resecured 2 baffle seal
389,3 intake gasket leaks,replaced gasket
390,screw missing for r/h side of baffling behind dipstick,removed dipstick installed screw installed safetied
391,r/h 4 side baffle missing bolts,installed new bolts
392,left engine 3 drain hose clamp against baffle,repositioned drain tube clamps to clear baffle
393,4 intake leaking,removed replaced 4 intake gasket
394,2 rocker cover leaking,removed replaced 2 rocker cover gasket
395,cylinder 2 4 intakes leaking,replaced intake gaskets
396,cylinder 3 aft baffle mount loose,removed baffle found baffle almost worn through at airway facilities
397,3 rocker cover requires new gasket,installed new gasket
398,4 intake leaking,removed replaced gasket
399,severe knocking vibrations on start up,inspected compressions indicated normal removed cowl
400,2 intake leaking,removed replaced 2 intake gasket
401,cylinder 2 4 intakes leaking,replaced intake gaskets
402,oil return line clamps loose,tightened oil return line clamps
403,loose cable safety baffle bolts cylinder 2,tightened resecured
404,1 3 cylinder fuel inj lines standoff loose by oil filler tube,tightened screw
405,r/h engine 4 intake leaking,replaced gasket
406,l/h engine 3 intake leaking,removed replaced gasket
407,l/h engine all 4 rocker covers leaking,removed replaced gaskets
408,r/h engine all 4 rocker covers leaking,removed replaced gaskets
409,r/h engine 2 4 rocker oil return lines leaking,tightened clamps
410,replace l/h engine torquemeter hoses,leak checked good
411,replace r/h engine torquemeter hoses,leak checked good
412,replace l/h engine torquemeter hoses,replaced pressure hose
413,replace r/h engine torquemeter hoses,installed pressure hose
414,replace l/h engine torquemeter hoses,replaced vent hose for torquemeter
415,replace r/h engine torquemeter hoses,replaced vent hoses for torquemeter
416,r/h rear engine baffle support broken,instaled new baffle support
417,l/h forward engine baffle cracked,installed patch of like materal riveted iaw
418,3 rocker cover gasket leaking,removed replaced 3 rocker cover gasket
419,3 rocker cover gasket leaking,removed replaced 3 rocker cover gasket
420,3 intake leaking,replaced gasket
421,2 rocker cover leaking,replaced gasket
422,engine timed out,removed engine iaw maint manual
423,engine timed out,removed baffling components from old engine started
424,engine timed out,installed engine performed preoil installed spark p
425,engine timed out,engine run up leak check good
426,cylinder 3 rocker cover leaking,removed replaced rocker cover gasket
427,l/h upper baffle for cylinder 4 plug hole enlarged,installed patch made of like material riveted iaw ces
428,r/h inner cylinder baffle tie rod installed incorrectly,tie rod broke while repositioning removed replaced r
429,2 4 rocker covers leaking,removed replaced gaskets
430,forward lower baffle r/h side cracked,stop drilled crack installed wide area washer to dist
431,2 3 rocker covers leaking,removed replaced 2 3 rocker cover gaskets
432,l/h aft upper baffle cracked,stop drilled crack fabricated patch installed patch
433,3 intake gasket leaking,removed replaced 3 intake gasket
434,2 rocker cover leaking,removed replaced 2 rocker cover gasket
435,1 3 rocker cover gaskets leaking,removed replaced 1 3 rocker cover gaskets
436,r/h forward baffle seal torn,repaired hole in baffle seal
437,cylinder 2 4 intakes leaking,replaced cylinder 2 4 intake pipe gaskets
438,2 cylinder rocker cover gasket leaking,removed replaced 2 rocker cover gasket w/ new
439,2 4 intake gaskets leaking,replaced gaskets
440,intakes 2 4 leaking on l/h engine,removed replaced intake gaskets 2 4 on l/h engine
441,intakes 2 3 4 leaking on r/h engine,removed replaced intake gaskets 2 3 4 on r/h engi
442,2 induction tube gasket leaking,installed new 2 induction tube gasket
443,l/h engine missing screw nut on baffle by oil fill tube,replaced screw washers nut
444,r/h engine 3 baffle cracked by upper 1 baffle attachment,repaired baffling by fabricating attachment of like mat
445,2 cylinder intake gasket leaking,replaced intake gasket
446,1 rocker cover gasket leaking,removed replaced gasket
447,3 intake leaking,removed replaced gasket
448,l/h back top baffle cracked,fabricated patch installed
449,engine idle 1700 rpm during shut down no rise in rpm on m,adjusted idle speeds mixture rise operational safety section check good
450,4 rocker cover leaking,removed replaced rocker cover gasket
